player_id,expected_points,salary,exp_fp,proj
39962234,1.0,7200,1.0,1.0
39962235,1.0,7200,1.0,1.0
39962236,1.0,7200,1.0,1.0
39962250,1.0,7200,1.0,1.0
39962247,1.0,7200,1.0,1.0
39962248,1.0,7200,1.0,1.0
39962237,1.0,7200,1.0,1.0
39962253,1.0,7000,1.0,1.0
39962254,1.0,7000,1.0,1.0
39962255,1.0,7000,1.0,1.0
39962256,1.0,7000,1.0,1.0
39961795,1.0,7000,1.0,1.0
39962251,1.0,7000,1.0,1.0
39962252,1.0,7000,1.0,1.0
39962257,1.0,7000,1.0,1.0
39962258,1.0,7000,1.0,1.0
39961796,1.0,6900,1.0,1.0
39962259,1.0,6900,1.0,1.0
39962260,1.0,6900,1.0,1.0
39962261,1.0,6900,1.0,1.0
39962262,1.0,6900,1.0,1.0
39962263,1.0,6900,1.0,1.0
39962264,1.0,6900,1.0,1.0
39962266,1.0,6800,1.0,1.0
39962265,1.0,6800,1.0,1.0
39961797,1.0,6700,1.0,1.0
39962267,1.0,6700,1.0,1.0
39962268,1.0,6700,1.0,1.0
39962269,1.0,6700,1.0,1.0
39962270,1.0,6700,1.0,1.0
39962271,1.0,6700,1.0,1.0
39962272,1.0,6700,1.0,1.0
39962273,1.0,6700,1.0,1.0
39962274,1.0,6500,1.0,1.0
39962282,1.0,6500,1.0,1.0
39962283,1.0,6500,1.0,1.0
39962284,1.0,6500,1.0,1.0
39962285,1.0,6500,1.0,1.0
39962287,1.0,6500,1.0,1.0
39962288,1.0,6500,1.0,1.0
39962289,1.0,6500,1.0,1.0
39961798,1.0,6500,1.0,1.0
39962275,1.0,6500,1.0,1.0
39962276,1.0,6500,1.0,1.0
39962277,1.0,6500,1.0,1.0
39962278,1.0,6500,1.0,1.0
39962279,1.0,6500,1.0,1.0
39962280,1.0,6500,1.0,1.0
39962281,1.0,6500,1.0,1.0
39962286,1.0,6500,1.0,1.0
39961803,1.0,6500,1.0,1.0
39961805,1.0,6300,1.0,1.0
39961799,1.0,6300,1.0,1.0
39962290,1.0,6300,1.0,1.0
