Lineup,Slot,Name,ID,TeamAbbrev,Salary,Proj
18,2B,Ramon Urias,40199833,HOU,2900,5.21
18,P,Julian Aguiar,40200435,CIN,5200,0.0
18,SS,Bobby Witt Jr.,40199569,KC,5800,9.73
18,OF,Jarren Duran,40199590,BOS,4900,8.57
19,P,Marc Church,40200475,TEX,4000,2.1
19,3B,Jace Jung,40200022,DET,2200,2.52
19,2B,Adael Amador,40200094,COL,2000,3.49
19,OF,Chandler Simpson,40199632,TB,4200,7.68
19,OF,Michael Harris II,40199740,ATL,3400,6.83
19,P,Austin Pope,40200449,ARI,4000,4.7
19,SS,Taylor Walls,40200078,TB,2000,5.12
19,UTIL,Francisco Lindor,40199571,NYM,5700,9.48
19,OF,Michael Helman,40199670,TEX,3800,6.0
19,C/1B,Spencer Steer,40199666,CIN,3900,6.82
20,3B,Andy Ibanez,40199781,DET,3100,3.26
20,SS,Xander Bogaerts,40199760,SD,3300,6.94
20,OF,Daniel Johnson,40200097,BAL,2000,3.03
20,P,Chase Lee,40200478,DET,4000,3.51
20,UTIL,Chris Taylor,40199773,LAA,3200,2.98
20,P,Brandon Pfaadt,40200230,ARI,7300,12.22
20,C/1B,Carter Jensen,40199686,KC,3700,7.06
20,2B,Xavier Edwards,40199672,MIA,3800,7.37
20,OF,Tristan Peters,40200115,TB,2000,0.0
20,OF,Jorge Mateo,40199876,BAL,2600,3.9
