Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Drake Powell (41495297),Drake Powell,41495297,SG/SF/F/G/UTIL,3100,BKN@DAL 01/12/2026 08:30PM ET,BKN,11.76
SG,Miles Kelly (41495305),Miles Kelly,41495305,SG/G/UTIL,3100,BKN@DAL 01/12/2026 08:30PM ET,DAL,6.08
SF,Justin Edwards (41495319),Justin Edwards,41495319,SF/F/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,PHI,11.11
SG,Garrett Temple (41495347),Garrett Temple,41495347,SG/G/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,TOR,2.28
C,Johni Broome (41495367),Johni Broome,41495367,C/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,PHI,5.04
PG/SG,Eric Gordon (41495375),Eric Gordon,41495375,PG/SG/G/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,PHI,8.75
PG/SG,AJ Lawson (41495379),AJ Lawson,41495379,PG/SG/G/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,TOR,8.25
PG/SG,Kyle Lowry (41495383),Kyle Lowry,41495383,PG/SG/G/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,PHI,4.45
PG,Chucky Hepburn (41495396),Chucky Hepburn,41495396,PG/G/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,TOR,2.88
C,Mo Bamba (41495402),Mo Bamba,41495402,C/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,TOR,2.25
SG/SF,Marjon Beauchamp (41495428),Marjon Beauchamp,41495428,SG/SF/F/G/UTIL,3000,PHI@TOR 01/12/2026 07:30PM ET,PHI,0
C,Thomas Bryant (41495310),Thomas Bryant,41495310,C/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,CLE,10.16
PG,Tyrese Proctor (41495322),Tyrese Proctor,41495322,PG/G/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,CLE,9.11
