Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Lonnie Walker IV (40192589),Lonnie Walker IV,40192589,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,PHI,22.11
SF/PF,Justin Edwards (40192590),Justin Edwards,40192590,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,PHI,19.70
PG,Jeff Dowtin (40192591),Jeff Dowtin,40192591,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,PHI,13.55
SF/PF,Tosan Evbuomwan (40192592),Tosan Evbuomwan,40192592,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,20
SF,Kevin McCullar Jr. (40192593),Kevin McCullar Jr.,40192593,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,5.75
C,Trey Jemison (40192594),Trey Jemison,40192594,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,7.53
PF/C,Dominick Barlow (40192595),Dominick Barlow,40192595,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,PHI,9.64
SF/PF,Marjon Beauchamp (40192596),Marjon Beauchamp,40192596,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,4.39
SF,Anton Watson (40192597),Anton Watson,40192597,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,1.75
SF,Mohamed Diawara (40192598),Mohamed Diawara,40192598,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,0
C,Johni Broome (40192599),Johni Broome,40192599,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,PHI,0
PF/C,P.J. Tucker (40192600),P.J. Tucker,40192600,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,6
PG/SG,Cameron Payne (40192601),Cameron Payne,40192601,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,13.13
C,Ariel Hukporti (40192602),Ariel Hukporti,40192602,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,5.58
PG,Delon Wright (40192603),Delon Wright,40192603,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,NYK,9.59
SG,Hunter Sallis (40192604),Hunter Sallis,40192604,UTIL,2000,PHI@NYK 10/02/2025 12:00PM ET,PHI,0
